Ticker,YTD_Change,YTD_Return,1M_Change,1M_Return,3M_Change,3M_Return,6M_Change,6M_Return,12M_Change,12M_Return
CSCO,-23.060479198696136,0.7693952080130386,8.49520032909108,1.0849520032909108,10.167763655163142,1.1016776365516314,10.94749330403042,1.1094749330403042,-17.983120302610757,0.8201687969738924
ISRG,-24.494442409939232,0.7550555759006077,2.5426365977710974,1.025426365977711,28.58089648636415,1.2858089648636415,38.591750653670246,1.3859175065367024,-21.20245418094635,0.7879754581905365
NVR,-19.486934915281605,0.8051306508471839,3.1995324439316963,1.031995324439317,13.997102750753587,1.1399710275075359,18.55045343834989,1.185504534383499,-21.910992234103066,0.7808900776589693
GILD,21.052629365957177,1.2105262936595718,7.38205932297189,1.073820593229719,34.961601643167704,1.349616016431677,50.47097367486471,1.504709736748647,25.06761652719083,1.2506761652719083
NLSN,,,,,,,,,,
V,-3.639975534116213,0.9636002446588379,4.082924447408542,1.0408292444740854,6.861319714467218,1.0686131971446722,8.773445724808827,1.0877344572480883,-0.014057535217859574,0.9998594246478214
A,-0.6901852380768014,0.993098147619232,4.780524883421666,1.0478052488342167,16.369628358084974,1.1636962835808498,33.424909648632564,1.3342490964863256,-0.5503651866018311,0.9944963481339817
FLT,-18.956340029809805,0.810436599701902,-6.256256160697804,0.937437438393022,-11.667605648803313,0.8833239435119669,-18.39491130829024,0.8160508869170976,-15.937343429797245,0.8406265657020275
MCHP,-13.125003467906604,0.868749965320934,0.8176118979514424,1.0081761189795144,21.041794067348498,1.210417940673485,24.207957588746876,1.2420795758874688,-12.257546931985953,0.8774245306801405
MSCI,-16.938111082997366,0.8306188891700264,-3.448676362501435,0.9655132363749857,4.860424301532862,1.0486042430153286,24.48727798172832,1.2448727798172832,-21.24367168617509,0.7875632831382491
GS-PJ,-6.813258934212585,0.9318674106578742,-1.358064318027663,0.9864193568197234,-0.8811458969564478,0.9911885410304355,2.164864467750327,1.0216486446775033,-5.742149707572763,0.9425785029242724
BBY,-19.867609239038153,0.8013239076096185,9.766862905670394,1.097668629056704,11.047899219521984,1.1104789921952198,14.034555755232958,1.1403455575523296,-21.17973426455745,0.7882026573544255
WBA,-23.275540839007625,0.7672445916099238,-1.3330083844756424,0.9866699161552436,17.184793084527385,1.1718479308452738,-0.049104979102521096,0.9995089502089748,-17.757577607125953,0.8224242239287405
LVS,23.603609636563917,1.2360360963656392,10.849493989033899,1.108494939890339,26.90274911238224,1.2690274911238224,47.120102192749734,1.4712010219274974,27.509295412446665,1.2750929541244667
AJG,15.409985092682676,1.1540998509268268,3.440856933593772,1.0344085693359377,4.106918693878692,1.041069186938787,25.957442812755737,1.2595744281275574,13.44338854507634,1.1344338854507634
T,-0.06221466532233544,0.9993778533467766,0.7611572890857898,1.007611572890858,14.052286285437955,1.1405228628543795,-1.2602923482649797,0.9873970765173502,11.270488450044681,1.1127048845004468
FPLPF,-59.15594572488867,0.4084405427511133,0.0,1.0,-59.15594572488867,0.4084405427511133,-59.15594572488867,0.4084405427511133,-59.15594572488867,0.4084405427511133
HUM,13.990760212553655,1.1399076021255365,0.3859720194248295,1.0038597201942483,13.299450691423953,1.1329945069142395,22.471263060156097,1.224712630601561,15.043692299385247,1.1504369229938525
CFG,-18.50834622236285,0.8149165377763715,-3.622144634777391,0.9637785536522261,7.532213652128927,1.0753221365212893,10.34719525678305,1.1034719525678305,-15.516884219756811,0.8448311578024319
ADM,35.749012359192214,1.3574901235919221,-0.9777544167816843,0.9902224558321832,6.728436931854187,1.0672843693185419,12.007784430471435,1.1200778443047144,45.24823097549775,1.4524823097549775
LH,-23.4338324892163,0.765661675107837,-8.3002002022738,0.916997997977262,-0.05472136059533339,0.9994527863940467,4.267896271178828,1.0426789627117883,-20.834640216618816,0.7916535978338118
GGG,-13.85358602389567,0.8614641397610433,-2.4467537356085534,0.9755324626439145,4.744243143654869,1.0474424314365487,15.468480235676797,1.154684802356768,-15.211412672925938,0.8478858732707406
PKI,-26.006764518218016,0.7399323548178198,-0.867844916848326,0.9913215508315167,7.162225260463528,1.0716222526046353,1.285515724452857,1.0128551572445286,-24.265098912350126,0.7573490108764988
LNT,-8.307313774749925,0.9169268622525008,3.4581825574188763,1.0345818255741888,-9.158254913208497,0.908417450867915,0.0986661084005025,1.000986661084005,-5.255563343149161,0.9474443665685084
BAC,-29.50411414023514,0.7049588585976486,-15.243425059869697,0.847565749401303,-4.249999102424173,0.9575000089757583,1.575666396682096,1.015756663966821,-26.87556161177298,0.7312443838822702
LNC,-55.1714238840656,0.44828576115934404,-11.32236517714148,0.8867763482285852,-36.31546730313884,0.6368453269686116,-36.34141392775574,0.6365858607224426,-53.68311926099245,0.46316880739007543
GPN,-30.091743336609422,0.6990825666339058,-5.096761673511141,0.9490323832648886,-25.0510713997506,0.749489286002494,-12.219761720856093,0.8778023827914391,-21.255965695137867,0.7874403430486213
PPG,-23.282532121717548,0.7671746787828245,0.6072784742571224,1.0060727847425712,5.132948131331494,1.051329481313315,15.190989015135958,1.1519098901513596,-19.887366839344946,0.8011263316065506
NOV,37.7692862400705,1.377692862400705,-15.888837422034996,0.84111162577965,15.867913826638414,1.1586791382663841,11.627255109487278,1.1162725510948728,45.025608283055575,1.4502560828305557
FLS,-3.932950363312404,0.960670496366876,-9.035406703690352,0.9096459329630965,-3.215335008215414,0.9678466499178459,0.8460237105064161,1.0084602371050642,-4.14924705434575,0.9585075294565425
