Price,Close,High,Low,Open,Volume
2015-04-20,176.5622100830078,176.89875430187317,175.81338828344428,175.8975179189911,92189500
2015-04-21,176.35191345214844,177.41203957690615,176.04901843959732,177.25217653717885,72559800
2015-04-22,177.21844482421875,177.40354795904577,175.76285991504847,176.69678469955332,78264600
2015-04-23,177.66441345214844,178.32068368900124,176.69682632157046,176.81461808617635,102585900
2015-04-24,178.07664489746094,178.3458905023881,177.6223089870677,178.0850668465756,61327400
2015-04-27,177.33628845214844,178.77502988490204,177.14276331198704,178.6488290007448,79358100
2015-04-28,177.8999786376953,177.9504589832728,176.1246804009717,177.31101987539466,86863500
2015-04-29,177.16798400878906,177.7737609805804,176.35185087120772,176.99969907615704,125684900
2015-04-30,175.3926544189453,176.98284917632932,174.68589120806922,176.58740276443118,161304900
2015-05-01,177.29421997070312,177.3362912121904,176.0826401105757,176.18360081947284,103399700
2015-05-04,177.79905700683594,178.38801589852372,177.61395380682822,177.7233236334939,70927200
2015-05-05,175.76292419433594,177.91685120201765,175.61989223572175,177.55505391041842,113326200
2015-05-06,175.0393524169922,176.62954795587382,173.9623952709952,176.3182438422418,135060200
2015-05-07,175.73770141601562,176.16681017268684,174.60185474808324,174.9383990559871,88244900
2015-05-08,178.05145263671875,178.2533868947504,177.3447019911187,177.4288444748837,155877300
2015-05-11,177.20167541503906,178.27863248053117,177.1259548803578,178.0093996333286,75708100
2015-05-12,176.671630859375,177.2185314207251,175.527362211459,176.3603267252024,119727600
2015-05-13,176.70526123046875,177.71490683517894,176.46967768398108,177.08387672744252,94667900
2015-05-14,178.54786682128906,178.64041841502137,177.45407876036367,177.7317335415606,95934000
2015-05-15,178.74139404296875,178.88442600188816,178.25339585694547,178.74139404296875,76510100
2015-05-18,179.2966766357422,179.54907838501506,178.50578358578255,178.5730949983684,74549700
2015-05-19,179.23777770996094,179.69212654388485,178.95171382983963,179.4144717761179,72114600
2015-05-20,179.11160278320312,179.86883383166705,178.79187673066258,179.3387643947375,76857500
2015-05-21,179.63323974609375,179.84358311816177,178.80027537090177,178.96856033922865,64764600
2015-05-22,179.20413208007812,179.66687719746236,179.13682066485103,179.2461904810478,57433500
2015-05-26,177.2773895263672,179.13683056454792,176.85670278670406,178.70772187355368,124308600
